analysis,group,note,n_models,mean,median,n_positive,n_negative,min,max,loo_min,loo_max,loo_min_dropped,loo_max_dropped,t_p,wilcoxon_p
q_proj truncate 0.80: peak_retention - 1,decoders,,9,0.025293717171774546,0.06282903576633525,5,4,-0.04650635656866797,0.11242202649367194,0.01440267850653737,0.03426872638932986,llama-3.1-8b,llama-7b,0.26846896800267633,0.1640625
q_proj truncate 0.80: mean_retention - 1,decoders,,9,0.022756370235767303,0.04549465291253374,5,4,-0.05765925447816367,0.09940910186420893,0.013174778782212099,0.03280832332500867,qwen2-7b,llama-2-7b,0.35147590048657207,0.25
v_proj truncate 0.80: peak_retention - 1,decoders,,9,-0.5282666204539683,-0.5800629403600188,0,9,-0.9977187501387744,-0.009647335196797169,-0.5930940311111148,-0.46958510424336763,qwen-7b,llama-2-7b,0.003591770583738798,0.00390625
v_proj truncate 0.80: mean_retention - 1,decoders,,9,-0.5427214951810626,-0.5820163202621038,0,9,-1.023162576542773,-0.014578812742491842,-0.6087393304858839,-0.48266636001084884,qwen-7b,llama-2-7b,0.0029230778184511255,0.00390625
q_proj truncate 0.80: gsm8k_delta,decoders,"answer log-probability, not accuracy",9,-0.0030667062683237783,-0.0117072362452745,2,7,-0.0222981745004655,0.0581616678833961,-0.010720253037288761,-0.0006627727393060633,qwen-7b,llama-2-7b,0.7209279755240309,0.25
q_proj truncate 0.80: ceval_relative - 1,ceval above near-chance threshold,baseline >= 0.35; n=5,5,-0.025280556709355827,-0.04494382022471921,2,3,-0.06172839506172845,0.022471910112359605,-0.037218673414784686,-0.016168597121262673,qwen2-7b,qwen1.5-7b,0.22098617121724853,0.3125
v_proj truncate 0.80: gsm8k_delta,decoders,"answer log-probability, not accuracy",9,-1.7121142405768235,-1.8776028573513035,0,9,-3.184963397979736,-0.0154354288429021,-1.9241990920435637,-1.5280080959014595,qwen1.5-7b,llama-2-7b,0.0011770941310070525,0.00390625
v_proj truncate 0.80: ceval_relative - 1,ceval above near-chance threshold,baseline >= 0.35; n=5,5,-0.21359287303984092,-0.2978723404255318,0,5,-0.3595505617977529,-0.024691358024691357,-0.2608182517936283,-0.17710345085036291,qwen1.5-7b,qwen2-7b,0.04050276372471963,0.0625
q_proj rotate: gsm8k_delta,decoders,"answer log-probability, not accuracy",9,-6.34553706187341,-5.542973121777177,0,9,-8.37087740778923,-4.393130812644959,-6.589587843026965,-6.092369518633932,qwen-7b,llama-3-8b,2.4413191437159765e-06,0.00390625
q_proj rotate: ceval_relative - 1,ceval above near-chance threshold,baseline >= 0.35; n=5,5,-0.4330152087901709,-0.4320987654320988,0,5,-0.550561797752809,-0.31868131868131866,-0.46159868131738396,-0.4036285615495114,qwen2.5-7b,qwen-7b,0.00029607361341794437,0.0625
