model,family,condition,stable_rank_retained,ceval_accuracy,ceval_baseline,ceval_relative,ceval_near_chance,gsm8k_logprob,gsm8k_delta
llama-7b,llama,baseline,,0.27,0.27,1.0,True,-1.1962553346157074,0.0
llama-7b,llama,q_proj rotate,1.000239421925175,0.235,0.27,0.8703703703703702,True,-8.69787145614624,-7.501616121530533
llama-7b,llama,q_proj truncate 0.80,0.800333361651408,0.275,0.27,1.0185185185185186,True,-1.2008386170864105,-0.004583282470703
llama-7b,llama,v_proj truncate 0.80,0.800319421631662,0.285,0.27,1.0555555555555554,True,-3.0738581919670107,-1.8776028573513035
llama-2-7b,llama,baseline,,0.28,0.28,1.0,True,-1.1618543910980224,0.0
llama-2-7b,llama,q_proj rotate,1.0002171581267596,0.28,0.28,1.0,True,-6.37721272945404,-5.215358338356018
llama-2-7b,llama,q_proj truncate 0.80,0.8003886122526773,0.26,0.28,0.9285714285714284,True,-1.184152565598488,-0.0222981745004655
llama-2-7b,llama,v_proj truncate 0.80,0.8003264383625839,0.295,0.28,1.0535714285714284,True,-4.346817789077758,-3.184963397979736
llama-3-8b,llama,v_proj truncate 0.80,0.800517171995054,0.255,0.31,0.8225806451612904,True,-3.253195126056671,-1.9298691189289088
llama-3-8b,llama,q_proj truncate 0.80,0.8003851078134847,0.33,0.31,1.0645161290322582,True,-1.3393912768363954,-0.0160652697086334
llama-3-8b,llama,q_proj rotate,1.00023373632342,0.225,0.31,0.7258064516129032,True,-9.694203414916991,-8.37087740778923
llama-3-8b,llama,baseline,,0.31,0.31,1.0,True,-1.323326007127762,0.0
llama-3.1-8b,llama,v_proj truncate 0.80,0.8005914622591059,0.24,0.33,0.7272727272727272,True,-3.4585701537132265,-2.1681764000654224
llama-3.1-8b,llama,q_proj truncate 0.80,0.8003870850399445,0.33,0.33,1.0,True,-1.3063305562734604,-0.0159368026256561
llama-3.1-8b,llama,q_proj rotate,1.0002299675097608,0.275,0.33,0.8333333333333334,True,-9.576090097427368,-8.285696343779565
llama-3.1-8b,llama,baseline,,0.33,0.33,1.0,True,-1.2903937536478045,0.0
qwen-7b,qwen,baseline,,0.445,0.445,1.0,False,-0.8789269852638245,0.0
qwen-7b,qwen,q_proj rotate,1.0001934910243675,0.2,0.445,0.449438202247191,False,-5.272057797908783,-4.393130812644959
qwen-7b,qwen,q_proj truncate 0.80,0.8003565027987258,0.425,0.445,0.9550561797752808,False,-0.8207653173804283,0.0581616678833961
qwen-7b,qwen,v_proj truncate 0.80,0.8002522475043254,0.42,0.445,0.9438202247191012,False,-0.9394497767090796,-0.0605227914452551
qwen1.5-7b,qwen,baseline,,0.405,0.405,1.0,False,-0.5710540593415498,0.0
qwen1.5-7b,qwen,q_proj rotate,1.000299961413405,0.23,0.405,0.5679012345679012,False,-5.653782696723938,-5.082728637382388
qwen1.5-7b,qwen,q_proj truncate 0.80,0.8004600057331467,0.38,0.405,0.9382716049382716,False,-0.5644214052706957,0.0066326540708541
qwen1.5-7b,qwen,v_proj truncate 0.80,0.8002319686715829,0.395,0.405,0.9753086419753086,False,-0.586489488184452,-0.0154354288429021
qwen2-7b,qwen,baseline,,0.445,0.445,1.0,False,-0.5106283005326986,0.0
qwen2-7b,qwen,q_proj rotate,0.99996832037011,0.25,0.445,0.5617977528089888,False,-6.053601422309876,-5.542973121777177
qwen2-7b,qwen,q_proj truncate 0.80,0.8003343165824112,0.455,0.445,1.0224719101123596,False,-0.5223355367779732,-0.0117072362452745
qwen2-7b,qwen,v_proj truncate 0.80,0.8007051546327557,0.285,0.445,0.6404494382022471,False,-2.321168924570084,-1.8105406240373847
qwen2.5-7b,qwen,baseline,,0.455,0.455,1.0,False,-0.7089724291861057,0.0
qwen2.5-7b,qwen,q_proj rotate,0.9999567546766344,0.31,0.455,0.6813186813186813,False,-5.601280789375306,-4.8923083601892
qwen2.5-7b,qwen,q_proj truncate 0.80,0.8002823848154519,0.46,0.455,1.010989010989011,False,-0.7297958813607692,-0.0208234521746635
qwen2.5-7b,qwen,v_proj truncate 0.80,0.8007460809656536,0.305,0.455,0.6703296703296703,False,-3.238238456249237,-2.529266027063131
qwen3-8b,qwen,baseline,,0.47,0.47,1.0,False,-0.9385898461937904,0.0
qwen3-8b,qwen,q_proj rotate,1.0003126655414465,0.27,0.47,0.574468085106383,False,-8.763734259605407,-7.825144413411616
qwen3-8b,qwen,q_proj truncate 0.80,0.8004116485839479,0.445,0.47,0.946808510638298,False,-0.9395703068375588,-0.0009804606437682
qwen3-8b,qwen,v_proj truncate 0.80,0.8005113958468197,0.33,0.47,0.7021276595744682,False,-2.7712413656711576,-1.8326515194773672
