model,word,layer,n_layers,stratum,representation,n,accuracy,accuracy_sd
llama-3-8b,all,16,32,all,context,40,0.775,0.09354143466934853
llama-3-8b,all,16,32,all,target,40,0.875,0.07905694150420949
llama-3-8b,all,16,32,all,combined,40,0.9,0.049999999999999996
llama-3-8b,all,16,32,semcor,context,40,0.775,0.09354143466934853
llama-3-8b,all,16,32,semcor,target,40,0.875,0.07905694150420949
llama-3-8b,all,16,32,semcor,combined,40,0.9,0.049999999999999996
qwen2.5-7b,all,14,28,all,context,40,0.6,0.09354143466934853
qwen2.5-7b,all,14,28,all,target,40,0.775,0.21505813167606566
qwen2.5-7b,all,14,28,all,combined,40,0.7,0.06123724356957945
qwen2.5-7b,all,14,28,semcor,context,40,0.6,0.09354143466934853
qwen2.5-7b,all,14,28,semcor,target,40,0.775,0.21505813167606566
qwen2.5-7b,all,14,28,semcor,combined,40,0.7,0.06123724356957945
llama-3-8b,alone,16,32,all,context,40,0.55,0.1695582495781317
llama-3-8b,alone,16,32,all,target,40,0.9,0.09354143466934853
llama-3-8b,alone,16,32,all,combined,40,0.85,0.2
llama-3-8b,alone,16,32,semcor,context,40,0.55,0.1695582495781317
llama-3-8b,alone,16,32,semcor,target,40,0.9,0.09354143466934853
llama-3-8b,alone,16,32,semcor,combined,40,0.85,0.2
qwen2.5-7b,alone,14,28,all,context,40,0.7,0.18708286933869706
qwen2.5-7b,alone,14,28,all,target,40,0.875,0.11180339887498948
qwen2.5-7b,alone,14,28,all,combined,40,0.775,0.19999999999999998
qwen2.5-7b,alone,14,28,semcor,context,40,0.7,0.18708286933869706
qwen2.5-7b,alone,14,28,semcor,target,40,0.875,0.11180339887498948
qwen2.5-7b,alone,14,28,semcor,combined,40,0.775,0.19999999999999998
llama-3-8b,back,16,32,all,context,40,0.8,0.15
llama-3-8b,back,16,32,all,target,40,0.975,0.049999999999999996
llama-3-8b,back,16,32,all,combined,40,1.0,0.0
llama-3-8b,back,16,32,semcor,context,40,0.8,0.15
llama-3-8b,back,16,32,semcor,target,40,0.975,0.049999999999999996
llama-3-8b,back,16,32,semcor,combined,40,1.0,0.0
qwen2.5-7b,back,14,28,all,context,40,0.8,0.1274754878398196
qwen2.5-7b,back,14,28,all,target,40,1.0,0.0
qwen2.5-7b,back,14,28,all,combined,40,1.0,0.0
qwen2.5-7b,back,14,28,semcor,context,40,0.8,0.1274754878398196
qwen2.5-7b,back,14,28,semcor,target,40,1.0,0.0
qwen2.5-7b,back,14,28,semcor,combined,40,1.0,0.0
llama-3-8b,basis,16,32,all,context,40,0.75,0.1767766952966369
llama-3-8b,basis,16,32,all,target,40,0.675,0.12747548783981963
llama-3-8b,basis,16,32,all,combined,40,0.75,0.15811388300841897
llama-3-8b,basis,16,32,semcor,context,40,0.75,0.1767766952966369
llama-3-8b,basis,16,32,semcor,target,40,0.675,0.12747548783981963
llama-3-8b,basis,16,32,semcor,combined,40,0.75,0.15811388300841897
qwen2.5-7b,basis,14,28,all,context,40,0.75,0.13693063937629152
qwen2.5-7b,basis,14,28,all,target,40,0.55,0.12747548783981963
qwen2.5-7b,basis,14,28,all,combined,40,0.7,0.09999999999999999
qwen2.5-7b,basis,14,28,semcor,context,40,0.75,0.13693063937629152
qwen2.5-7b,basis,14,28,semcor,target,40,0.55,0.12747548783981963
qwen2.5-7b,basis,14,28,semcor,combined,40,0.7,0.09999999999999999
llama-3-8b,better,16,32,all,context,40,0.475,0.1457737973711325
llama-3-8b,better,16,32,all,target,40,0.6,0.049999999999999996
llama-3-8b,better,16,32,all,combined,40,0.525,0.049999999999999996
llama-3-8b,better,16,32,semcor,context,40,0.475,0.1457737973711325
llama-3-8b,better,16,32,semcor,target,40,0.6,0.049999999999999996
llama-3-8b,better,16,32,semcor,combined,40,0.525,0.049999999999999996
qwen2.5-7b,better,14,28,all,context,40,0.45,0.06123724356957945
qwen2.5-7b,better,14,28,all,target,40,0.525,0.049999999999999996
qwen2.5-7b,better,14,28,all,combined,40,0.475,0.049999999999999996
qwen2.5-7b,better,14,28,semcor,context,40,0.45,0.06123724356957945
qwen2.5-7b,better,14,28,semcor,target,40,0.525,0.049999999999999996
qwen2.5-7b,better,14,28,semcor,combined,40,0.475,0.049999999999999996
llama-3-8b,death,16,32,all,context,40,0.575,0.257390753524675
llama-3-8b,death,16,32,all,target,40,0.775,0.1224744871391589
llama-3-8b,death,16,32,all,combined,40,0.7,0.1274754878398196
llama-3-8b,death,16,32,semcor,context,40,0.575,0.257390753524675
llama-3-8b,death,16,32,semcor,target,40,0.775,0.1224744871391589
llama-3-8b,death,16,32,semcor,combined,40,0.7,0.1274754878398196
qwen2.5-7b,death,14,28,all,context,40,0.675,0.1695582495781317
qwen2.5-7b,death,14,28,all,target,40,0.775,0.1457737973711325
qwen2.5-7b,death,14,28,all,combined,40,0.75,0.13693063937629152
qwen2.5-7b,death,14,28,semcor,context,40,0.675,0.1695582495781317
qwen2.5-7b,death,14,28,semcor,target,40,0.775,0.1457737973711325
qwen2.5-7b,death,14,28,semcor,combined,40,0.75,0.13693063937629152
llama-3-8b,down,16,32,all,context,40,0.675,0.2318404623873926
llama-3-8b,down,16,32,all,target,40,0.775,0.1457737973711325
llama-3-8b,down,16,32,all,combined,40,0.775,0.2
llama-3-8b,down,16,32,semcor,context,40,0.675,0.2318404623873926
llama-3-8b,down,16,32,semcor,target,40,0.775,0.1457737973711325
llama-3-8b,down,16,32,semcor,combined,40,0.775,0.2
qwen2.5-7b,down,14,28,all,context,40,0.65,0.2
qwen2.5-7b,down,14,28,all,target,40,0.8,0.1695582495781317
qwen2.5-7b,down,14,28,all,combined,40,0.775,0.16583123951777
qwen2.5-7b,down,14,28,semcor,context,40,0.65,0.2
qwen2.5-7b,down,14,28,semcor,target,40,0.8,0.1695582495781317
qwen2.5-7b,down,14,28,semcor,combined,40,0.775,0.16583123951777
llama-3-8b,evidence,16,32,all,context,40,0.625,0.13693063937629152
llama-3-8b,evidence,16,32,all,target,40,0.525,0.09354143466934853
llama-3-8b,evidence,16,32,all,combined,40,0.525,0.18371173070873836
llama-3-8b,evidence,16,32,semcor,context,40,0.625,0.13693063937629152
llama-3-8b,evidence,16,32,semcor,target,40,0.525,0.09354143466934853
llama-3-8b,evidence,16,32,semcor,combined,40,0.525,0.18371173070873836
qwen2.5-7b,evidence,14,28,all,context,40,0.6,0.1224744871391589
qwen2.5-7b,evidence,14,28,all,target,40,0.55,0.09999999999999999
qwen2.5-7b,evidence,14,28,all,combined,40,0.525,0.2
qwen2.5-7b,evidence,14,28,semcor,context,40,0.6,0.1224744871391589
qwen2.5-7b,evidence,14,28,semcor,target,40,0.55,0.09999999999999999
qwen2.5-7b,evidence,14,28,semcor,combined,40,0.525,0.2
llama-3-8b,first,16,32,all,context,40,0.5,0.07905694150420949
llama-3-8b,first,16,32,all,target,40,0.95,0.09999999999999999
llama-3-8b,first,16,32,all,combined,40,0.875,0.11180339887498948
llama-3-8b,first,16,32,semcor,context,40,0.5,0.07905694150420949
llama-3-8b,first,16,32,semcor,target,40,0.95,0.09999999999999999
llama-3-8b,first,16,32,semcor,combined,40,0.875,0.11180339887498948
qwen2.5-7b,first,14,28,all,context,40,0.5,0.11180339887498948
qwen2.5-7b,first,14,28,all,target,40,0.95,0.09999999999999999
qwen2.5-7b,first,14,28,all,combined,40,0.9,0.09354143466934853
qwen2.5-7b,first,14,28,semcor,context,40,0.5,0.11180339887498948
qwen2.5-7b,first,14,28,semcor,target,40,0.95,0.09999999999999999
qwen2.5-7b,first,14,28,semcor,combined,40,0.9,0.09354143466934853
llama-3-8b,heart,16,32,all,context,40,0.95,0.06123724356957945
llama-3-8b,heart,16,32,all,target,40,0.775,0.049999999999999996
llama-3-8b,heart,16,32,all,combined,40,0.9,0.09354143466934853
llama-3-8b,heart,16,32,semcor,context,40,0.95,0.06123724356957945
llama-3-8b,heart,16,32,semcor,target,40,0.775,0.049999999999999996
llama-3-8b,heart,16,32,semcor,combined,40,0.9,0.09354143466934853
qwen2.5-7b,heart,14,28,all,context,40,0.9,0.049999999999999996
qwen2.5-7b,heart,14,28,all,target,40,0.9,0.1224744871391589
qwen2.5-7b,heart,14,28,all,combined,40,0.925,0.1
qwen2.5-7b,heart,14,28,semcor,context,40,0.9,0.049999999999999996
qwen2.5-7b,heart,14,28,semcor,target,40,0.9,0.1224744871391589
qwen2.5-7b,heart,14,28,semcor,combined,40,0.925,0.1
llama-3-8b,here,16,32,all,context,40,0.825,0.1274754878398196
llama-3-8b,here,16,32,all,target,40,0.825,0.06123724356957946
llama-3-8b,here,16,32,all,combined,40,0.875,0.07905694150420949
llama-3-8b,here,16,32,semcor,context,40,0.825,0.1274754878398196
llama-3-8b,here,16,32,semcor,target,40,0.825,0.06123724356957946
llama-3-8b,here,16,32,semcor,combined,40,0.875,0.07905694150420949
qwen2.5-7b,here,14,28,all,context,40,0.825,0.1274754878398196
qwen2.5-7b,here,14,28,all,target,40,0.8,0.09999999999999999
qwen2.5-7b,here,14,28,all,combined,40,0.85,0.09354143466934853
qwen2.5-7b,here,14,28,semcor,context,40,0.825,0.1274754878398196
qwen2.5-7b,here,14,28,semcor,target,40,0.8,0.09999999999999999
qwen2.5-7b,here,14,28,semcor,combined,40,0.85,0.09354143466934853
llama-3-8b,information,16,32,all,context,40,0.775,0.09354143466934853
llama-3-8b,information,16,32,all,target,40,0.675,0.1695582495781317
llama-3-8b,information,16,32,all,combined,40,0.75,0.15811388300841897
llama-3-8b,information,16,32,semcor,context,40,0.775,0.09354143466934853
llama-3-8b,information,16,32,semcor,target,40,0.675,0.1695582495781317
llama-3-8b,information,16,32,semcor,combined,40,0.75,0.15811388300841897
qwen2.5-7b,information,14,28,all,context,40,0.775,0.1457737973711325
qwen2.5-7b,information,14,28,all,target,40,0.7,0.1695582495781317
qwen2.5-7b,information,14,28,all,combined,40,0.775,0.16583123951777
qwen2.5-7b,information,14,28,semcor,context,40,0.775,0.1457737973711325
qwen2.5-7b,information,14,28,semcor,target,40,0.7,0.1695582495781317
qwen2.5-7b,information,14,28,semcor,combined,40,0.775,0.16583123951777
llama-3-8b,just,16,32,all,context,40,0.6,0.1224744871391589
llama-3-8b,just,16,32,all,target,40,0.7,0.203100960115899
