subset,group,control,n_models,mean,median,n_positive,n_negative,loo_min,loo_max,loo_min_dropped,loo_max_dropped,t_p,wilcoxon_p
all words,decoders,linear,9,0.500595601020424,0.5419601378263909,9,0,0.4789565619861609,0.5408203230108787,qwen2.5-7b,qwen3-8b,1.8293695065047204e-05,0.00390625
all words,decoders,quadratic,9,0.1369740895154915,0.0772668247103637,7,2,0.1081364817527807,0.1675432214837322,llama-2-7b,qwen3-8b,0.038436382800296,0.0546875
all words,llama,linear,4,0.5705319017457569,0.6051052137184432,4,0,0.5416013659468499,0.6225113121931213,llama-3.1-8b,llama-7b,0.0018420374201524,0.125
all words,llama,quadratic,4,0.2963414585041292,0.3109181796866416,4,0,0.2725636274664462,0.329837103663487,llama-2-7b,llama-7b,0.004131714584384,0.125
all words,qwen,linear,5,0.4446465604401576,0.5063449925899568,5,0,0.3873812222265649,0.5111087442760004,qwen2.5-7b,qwen3-8b,0.0069283043510471,0.0625
all words,qwen,quadratic,5,0.0094801943245814,0.0278155942218486,3,2,-0.0074664632718641,0.0387449844633354,qwen2.5-7b,qwen3-8b,0.7849927770069565,0.8125
all words,encoders,linear,4,0.1159719503061342,0.0737248370343256,3,1,0.0384752745837013,0.1653038838473614,xlm-roberta-base,roberta-base,0.2509245435352073,0.25
all words,encoders,quadratic,4,-0.0440745511998807,-0.0074433537028312,2,2,-0.095029348752967,0.0313010446845719,spanbert-base-cased,roberta-base,0.6647241968796818,0.625
excluding bank,decoders,linear,9,0.4810475185161804,0.5347008908741885,9,0,0.4557499692353461,0.5212209562637558,qwen2.5-7b,qwen3-8b,4.571109032940884e-05,0.00390625
excluding bank,decoders,quadratic,9,0.0936563529138334,0.1044289407118686,6,3,0.0678123994293058,0.1238940884847767,llama-2-7b,qwen3-8b,0.1396793077150889,0.203125
